system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00050] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:486  _al_score_display_settings       [   0.03866] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03867] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03869] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03870] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03871] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03872] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03873] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03874] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03875] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03876] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03878] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03879] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03880] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03881] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03882] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03883] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03884] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03885] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03886] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03888] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03889] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03890] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03891] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03892] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03893] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03894] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03895] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03896] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.03897] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03899] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03900] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03901] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03902] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03903] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03904] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03906] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03907] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03908] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03909] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03910] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03911] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03913] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03914] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03915] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03916] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03917] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03918] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03919] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03921] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03922] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03923] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03924] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03925] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03926] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03927] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03929] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03930] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03931] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03933] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03934] Score is : 769
