system   D            wsystem.c:583  maybe_parent_dir                 [   0.02816] Also searching E:\Code\C++\allegris\
display  D   display_settings.c:357  _al_score_display_settings       [   0.83244] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83247] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.83251] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83254] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83257] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83260] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83263] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83266] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83269] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83271] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83274] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83278] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83281] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83284] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83287] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83290] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83293] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83296] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83299] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83302] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83305] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83308] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83310] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.83313] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83317] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83320] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83323] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83329] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83332] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83335] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83338] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83345] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83351] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83357] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83361] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83364] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83370] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83374] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83377] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.83380] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83383] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83386] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83389] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83392] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83395] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83398] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83401] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83404] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83407] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83410] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83413] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83416] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83419] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83422] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83425] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83428] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83431] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83434] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.83437] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.83440] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.83443] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83446] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83452] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83455] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83458] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83481] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83484] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83487] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83491] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83494] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83497] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83500] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83503] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83506] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83509] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83513] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.83516] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.83519] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.83529] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.83856] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.83867] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.89198] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   1.13644] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   1.13671] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   1.13682] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   1.13694] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [   1.14122] added dtor for object 010364B0, func 55892711
dtor     D               dtor.c:184  _al_register_destructor          [   1.14138] added dtor for object 010365E8, func 55892711
dtor     D               dtor.c:184  _al_register_destructor          [   1.14154] added dtor for object 01036720, func 55891951
dtor     D               dtor.c:184  _al_register_destructor          [   1.14510] added dtor for object 01036CF0, func 55891951
dtor     D               dtor.c:184  _al_register_destructor          [   1.14546] added dtor for object 01036F20, func 55891951
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18478] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18486] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18490] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   1.18493] Fake format
